MI,MI_err,L,p,p_0,L_A,t,runs
1.0595030713118887,0.0293720230355351,10.0,0.8,0.0,5.0,49.0,100.0
1.0596960598945584,0.02937921380919336,10.0,0.8,0.0,5.0,50.0,100.0
2.0094649303829364,0.04263633822397114,10.0,1.0,0.0,5.0,0.0,100.0
0.7744363004160502,0.022481858728780967,10.0,1.0,0.0,5.0,1.0,100.0
0.631921153963675,0.019865427636028332,10.0,1.0,0.0,5.0,2.0,100.0
0.626055751148574,0.020711911916558728,10.0,1.0,0.0,5.0,3.0,100.0
0.6463434401158736,0.022094184848083613,10.0,1.0,0.0,5.0,4.0,100.0
0.6696087066089466,0.02333400971136982,10.0,1.0,0.0,5.0,5.0,100.0
0.690779172056998,0.024333382457147952,10.0,1.0,0.0,5.0,6.0,100.0
0.7090537822523575,0.025114125193822768,10.0,1.0,0.0,5.0,7.0,100.0
0.7246467692954579,0.02572026073531374,10.0,1.0,0.0,5.0,8.0,100.0
0.7379608243807003,0.026194352272345817,10.0,1.0,0.0,5.0,9.0,100.0
0.7493779992145213,0.02657129348154816,10.0,1.0,0.0,5.0,10.0,100.0
0.7592150682633003,0.026876759076174105,10.0,1.0,0.0,5.0,11.0,100.0
0.7677311839713394,0.02712989814167231,10.0,1.0,0.0,5.0,12.0,100.0
0.7751321153776584,0.02734365676161138,10.0,1.0,0.0,5.0,13.0,100.0
0.7815876575010782,0.02752743462958628,10.0,1.0,0.0,5.0,14.0,100.0
0.7872345288109958,0.027687507127692614,10.0,1.0,0.0,5.0,15.0,100.0
0.7921885273919608,0.02782840166114729,10.0,1.0,0.0,5.0,16.0,100.0
0.7965451558880315,0.027953440730451706,10.0,1.0,0.0,5.0,17.0,100.0
0.8003849511913361,0.028064910648904363,10.0,1.0,0.0,5.0,18.0,100.0
0.8037776240375795,0.028164666909378876,10.0,1.0,0.0,5.0,19.0,100.0
0.8067826462567887,0.02825421890003485,10.0,1.0,0.0,5.0,20.0,100.0
0.8094483176100031,0.028334629877737872,10.0,1.0,0.0,5.0,21.0,100.0
0.8118161244937838,0.02840725562175884,10.0,1.0,0.0,5.0,22.0,100.0
0.8139352609571233,0.028472171907208226,10.0,1.0,0.0,5.0,23.0,100.0
0.8158168161425401,0.02853059680535871,10.0,1.0,0.0,5.0,24.0,100.0
0.8175040701599743,0.028584179213442962,10.0,1.0,0.0,5.0,25.0,100.0
0.8190342623131734,0.02863195277121177,10.0,1.0,0.0,5.0,26.0,100.0
0.8203919020322996,0.028674582066562187,10.0,1.0,0.0,5.0,27.0,100.0
0.8216153333971371,0.02871405848359158,10.0,1.0,0.0,5.0,28.0,100.0
0.8227369453603542,0.028748896397770667,10.0,1.0,0.0,5.0,29.0,100.0
0.8237280573010091,0.02878095896967097,10.0,1.0,0.0,5.0,30.0,100.0
0.8246473203009722,0.02880946033159394,10.0,1.0,0.0,5.0,31.0,100.0
0.8254747638617215,0.0288352569258866,10.0,1.0,0.0,5.0,32.0,100.0
0.8262333836655613,0.028858513487197035,10.0,1.0,0.0,5.0,33.0,100.0
0.8269123279378704,0.028879655129185566,10.0,1.0,0.0,5.0,34.0,100.0
0.8275442626535399,0.028898983320260675,10.0,1.0,0.0,5.0,35.0,100.0
0.8281239424335247,0.02891659443734172,10.0,1.0,0.0,5.0,36.0,100.0
0.8286605075133955,0.028931939546749254,10.0,1.0,0.0,5.0,37.0,100.0
0.8291440596293479,0.028946391826626405,10.0,1.0,0.0,5.0,38.0,100.0
0.8295955364795737,0.028959216098439662,10.0,1.0,0.0,5.0,39.0,100.0
0.8300128829136639,0.028970872300039252,10.0,1.0,0.0,5.0,40.0,100.0
0.830398929871619,0.02898166514730104,10.0,1.0,0.0,5.0,41.0,100.0
0.8307544712729666,0.028990953411945065,10.0,1.0,0.0,5.0,42.0,100.0
0.8310858092772122,0.028999868348932006,10.0,1.0,0.0,5.0,43.0,100.0
0.8313974935837911,0.029007672067051953,10.0,1.0,0.0,5.0,44.0,100.0
0.8316790638303592,0.029015004825388706,10.0,1.0,0.0,5.0,45.0,100.0
0.8319523205836364,0.029021431460232637,10.0,1.0,0.0,5.0,46.0,100.0
0.8322010628444076,0.029027306272472193,10.0,1.0,0.0,5.0,47.0,100.0
0.8324339979660534,0.029032400217007575,10.0,1.0,0.0,5.0,48.0,100.0
0.8326543806311648,0.02903738208008664,10.0,1.0,0.0,5.0,49.0,100.0
0.8328602915195663,0.029041786056242958,10.0,1.0,0.0,5.0,50.0,100.0
2.012263780945169,0.04054425368825197,10.0,1.2,0.0,5.0,0.0,100.0
0.75907128964699,0.02181619383204178,10.0,1.2,0.0,5.0,1.0,100.0
0.5723829509223586,0.018963045672564564,10.0,1.2,0.0,5.0,2.0,100.0
0.5355159188454861,0.018881483957301024,10.0,1.2,0.0,5.0,3.0,100.0
0.5350785972441081,0.01943941389572309,10.0,1.2,0.0,5.0,4.0,100.0
0.544165565882264,0.02011367554437623,10.0,1.2,0.0,5.0,5.0,100.0
0.5552812577998738,0.020763548836552095,10.0,1.2,0.0,5.0,6.0,100.0
0.5661577834152944,0.02134185165220498,10.0,1.2,0.0,5.0,7.0,100.0
0.5761173307341828,0.0218355550488502,10.0,1.2,0.0,5.0,8.0,100.0
0.5850149073717205,0.022247272575707057,10.0,1.2,0.0,5.0,9.0,100.0
0.5928926255519985,0.022586637364839145,10.0,1.2,0.0,5.0,10.0,100.0
0.5998534153600323,0.022865424399954554,10.0,1.2,0.0,5.0,11.0,100.0
0.6060120053686247,0.023094820721390567,10.0,1.2,0.0,5.0,12.0,100.0
0.6114761971385105,0.023284969450035616,10.0,1.2,0.0,5.0,13.0,100.0
0.6163421741764321,0.023444065940789946,10.0,1.2,0.0,5.0,14.0,100.0
0.6206914703604677,0.023578816574506896,10.0,1.2,0.0,5.0,15.0,100.0
0.6245936931243705,0.02369447464437217,10.0,1.2,0.0,5.0,16.0,100.0
0.6281079258579798,0.023794962586657278,10.0,1.2,0.0,5.0,17.0,100.0
0.6312826532985556,0.023883431771619328,10.0,1.2,0.0,5.0,18.0,100.0
0.6341606660282989,0.023962208676604542,10.0,1.2,0.0,5.0,19.0,100.0
0.6367772431221266,0.0240330348031002,10.0,1.2,0.0,5.0,20.0,100.0
0.6391622914547563,0.024097285566682714,10.0,1.2,0.0,5.0,21.0,100.0
0.6413400668260704,0.024155655643479462,10.0,1.2,0.0,5.0,22.0,100.0
0.6433341602806777,0.024209161805670665,10.0,1.2,0.0,5.0,23.0,100.0
0.6451750454590024,0.024259731731747145,10.0,1.2,0.0,5.0,24.0,100.0
